law_index,condition,seed,n_meas,sum_P,sum_M,sum_PP,sum_MM,sum_PM,mean_P,mean_M,mean_turnover,probe_count,cross_cadence_endpoints,eligible_seed,n_tracks,long_tracks,mean_track_obs,max_track_obs,censored_tracks,births,splits,merges,ambiguous
14,OFF,7002,410,317.81700930217744,224.07235349488116,251.3860814017461,149.44897686049893,181.28030864811876,0.775163437322384,0.5465179353533687,0.4534820646466314,39,0,False,201,8,2.3383084577114426,13,183,201,13,9,1
14,OFF,7003,399,303.3385789331291,207.661492502136,236.91250449724515,135.52320787421027,166.10906683521088,0.760247064995311,0.5204548684264061,0.4795451315735945,40,0,False,203,8,2.270935960591133,16,182,203,12,8,3
14,ON,7001,179,139.6033819178853,134.29984142300802,111.46001764062432,109.36762238508595,108.43236651901108,0.7799071615524318,0.7502784437039555,0.24972155629604484,2,0,False,93,2,2.161290322580645,20,90,93,2,3,2
14,ON,7002,199,148.7545021043774,131.22640315399312,114.80902137015036,98.42409530227087,102.68540963551484,0.747510060826017,0.6594291615778549,0.34057083842214475,2,0,False,121,3,2.1074380165289255,13,115,121,3,3,1
14,ON,7003,227,172.36056696728016,158.57252707515386,134.1915598237924,120.68202504425821,124.40249201753288,0.7592976518382386,0.6985573879962725,0.30144261200372735,6,0,False,93,5,2.3655913978494625,18,84,93,3,2,0
15,OFF,7001,1033,898.9498814140757,932.2870002632392,789.7126531907033,865.8692686072935,820.1875506938461,0.8702322182130452,0.9025043564987795,0.09749564350122104,13,2,True,34,16,12.588235294117647,61,25,34,1,7,0
15,OFF,7002,1513,1349.3110121901223,1389.2345116433228,1211.1922199664643,1309.2820679941703,1248.9637596766547,0.8918116405750973,0.9181986197246019,0.08180138027539496,15,0,False,26,21,22.53846153846154,61,14,26,5,14,0
15,OFF,7003,992,874.0474644196404,916.0883334081065,778.5876376597729,862.7743743355048,815.6304857519416,0.8810962342939923,0.9234761425484944,0.07652385745150635,2,0,False,29,14,13.862068965517242,61,20,29,2,6,1
15,ON,7001,1142,957.5356547558144,1045.6673271173265,811.0254505610628,1004.0354552152562,888.9757975305806,0.8384725523255818,0.915645645461757,0.08435435453824246,11,0,False,97,18,5.88659793814433,61,82,97,3,2,2
15,ON,7002,1110,918.0645639857366,989.0932688749751,768.3807109666693,940.2602955910902,833.8378821679347,0.827085192779943,0.8910750170044821,0.10892498299551738,22,0,False,122,18,4.918032786885246,51,107,122,3,4,0
