law_index,seed,snapshot_cadence,tracks,mean_track_observations,median_track_observations,mean_lifetime_steps,median_lifetime_steps,complex_tracks,birth_events,disappearance_events,continuity_events,split_events,merge_events,ambiguity_events
27,2003,10,39,5.051282051282051,2.0,40.51282051282051,10.0,10,39,36,158,2,3,0
27,2003,30,39,1.7692307692307692,1.0,23.076923076923077,0.0,2,39,36,30,0,1,0
27,2003,60,28,1.2857142857142858,1.0,17.142857142857142,0.0,2,28,25,8,0,1,0
28,2001,10,111,2.810810810810811,1.0,18.10810810810811,0.0,23,111,104,201,7,4,1
28,2001,30,63,1.8253968253968254,1.0,24.761904761904763,0.0,5,63,56,52,2,1,0
28,2001,60,44,1.4090909090909092,1.0,24.545454545454547,0.0,2,44,37,18,0,1,0
28,2002,10,113,2.601769911504425,2.0,16.01769911504425,10.0,29,113,106,181,9,6,1
28,2002,30,58,1.793103448275862,1.0,23.79310344827586,0.0,7,58,51,46,2,2,0
28,2002,60,37,1.4054054054054055,1.0,24.324324324324323,0.0,1,37,30,15,0,0,1
28,2003,10,117,2.7435897435897436,2.0,17.435897435897434,10.0,32,117,111,204,9,7,2
28,2003,30,66,1.5909090909090908,1.0,17.727272727272727,0.0,8,66,60,39,1,3,0
28,2003,60,35,1.6,1.0,36.0,0.0,5,35,29,21,2,1,0
29,2001,10,27,7.074074074074074,2.0,60.74074074074074,10.0,6,27,25,164,2,2,0
29,2001,30,23,2.8260869565217392,2.0,54.78260869565217,30.0,2,23,21,42,0,1,0
29,2001,60,17,2.0,1.0,60.0,0.0,0,17,15,17,0,0,0
29,2002,10,22,13.681818181818182,11.5,126.81818181818181,105.0,7,22,18,279,2,4,0
29,2002,30,13,7.923076923076923,8.0,207.69230769230768,210.0,2,13,9,90,0,1,0
29,2002,60,10,5.5,5.5,270.0,270.0,0,10,6,45,0,0,0
29,2003,10,22,11.272727272727273,4.0,102.72727272727273,30.0,7,22,19,226,2,3,0
29,2003,30,19,4.631578947368421,2.0,108.94736842105263,30.0,4,19,16,69,1,1,1
29,2003,60,16,2.75,1.0,105.0,0.0,0,16,13,28,0,0,0
30,2001,10,10,19.9,7.0,189.0,60.0,5,10,8,189,1,3,0
30,2001,30,15,4.6,2.0,108.0,30.0,2,15,13,54,0,1,0
30,2001,60,12,3.1666666666666665,1.0,130.0,0.0,0,12,10,26,0,0,0
30,2002,10,10,23.8,16.5,228.0,155.0,4,10,7,228,0,2,0
30,2002,30,7,11.571428571428571,7.0,317.14285714285717,180.0,2,7,4,74,0,1,0
30,2002,60,8,5.25,3.0,255.0,120.0,2,8,5,34,0,1,0
30,2003,10,24,9.291666666666666,2.5,82.91666666666667,15.0,3,24,21,199,0,2,0
30,2003,30,21,3.761904761904762,2.0,82.85714285714286,30.0,2,21,18,58,0,1,0
30,2003,60,15,2.933333333333333,2.0,116.0,60.0,0,15,12,29,0,0,0
31,2001,10,19,10.68421052631579,4.0,96.84210526315789,30.0,10,19,17,184,2,4,0
31,2001,30,30,2.433333333333333,1.0,43.0,0.0,2,30,28,43,0,0,1
31,2001,60,23,1.6956521739130435,1.0,41.73913043478261,0.0,0,23,21,16,0,0,0
31,2002,10,43,3.4186046511627906,1.0,24.186046511627907,0.0,4,43,42,104,0,2,0
31,2002,30,25,2.12,1.0,33.6,0.0,4,25,24,28,0,2,0
31,2002,60,19,1.4210526315789473,1.0,25.263157894736842,0.0,2,19,18,8,0,1,0
31,2003,10,16,16.1875,7.0,151.875,60.0,12,16,13,243,2,7,0
31,2003,30,14,6.357142857142857,3.5,160.71428571428572,75.0,5,14,11,75,1,2,0
31,2003,60,15,3.1333333333333333,1.0,128.0,0.0,4,15,12,32,0,2,0
32,2001,10,36,6.5,2.0,55.0,10.0,4,36,33,198,0,2,0
32,2001,30,30,2.6333333333333333,1.0,49.0,0.0,4,30,27,49,1,1,0
32,2001,60,19,2.1578947368421053,1.0,69.47368421052632,0.0,0,19,16,22,0,0,0
32,2002,10,13,14.076923076923077,9.0,130.76923076923077,80.0,10,13,12,170,1,5,0
32,2002,30,25,2.56,1.0,46.8,0.0,4,25,24,39,0,2,0
